date,value,country
2012,60.5772275898102,AL
2013,68.2463112084318,AL
2014,65.5362570069905,AL
2015,68.8016580231509,AL
2016,69.8461874392193,AL
2017,65.5051854324395,AL
2018,61.470467291489,AL
2019,60.4097685761922,AL
2020,69.8476640742492,AL
2021,64.6206968822262,AL
2022,68.1248192982638,AL
2023,67.0531302283111,AL
2024,65.8156699444184,AL
2025,64.7503006319672,AL
2026,64.0380411508246,AL
2027,63.3501279051302,AL
1992,62.9614063462369,DZ
1993,74.0698901501363,DZ
1994,98.431882616851,DZ
1995,116.261038904704,DZ
1996,98.2035630112649,DZ
1997,69.8947072997824,DZ
1998,72.9045369291907,DZ
1999,82.0656229716731,DZ
2000,62.8489204558194,DZ
2001,48.4035895081944,DZ
2002,45.1842850137083,DZ
2003,30.566149656341,DZ
2004,23.4743411897676,DZ
2005,1.94367770960063,DZ
2006,-10.8406394064143,DZ
2007,-20.8741387533159,DZ
2008,-35.4909984964575,DZ
2009,-39.6395072034098,DZ
2010,-33.7043485087974,DZ
2011,-31.0864674974566,DZ
2012,-29.0339475270229,DZ
2013,-30.0186998805232,DZ
2014,-21.8025745163451,DZ
2015,-7.63065538112946,DZ
2016,13.3131490438454,DZ
2017,21.2369398480299,DZ
2018,25.6494459730494,DZ
2019,30.6309750149167,DZ
2020,43.2531989827171,DZ
2021,51.4468801954057,DZ
2022,51.2498872543373,DZ
2023,56.2786530218732,DZ
2024,61.1776397073642,DZ
2025,65.1778599186549,DZ
2026,69.071087746973,DZ
2027,72.9397631028807,DZ
2000,43.7321915448226,AT
2001,42.2774651400068,AT
2002,44.2389473540291,AT
2003,42.6908749797833,AT
2004,46.197402663852,AT
2005,50.0319708747417,AT
2006,49.6393308451358,AT
2007,48.7572171083675,AT
2008,49.1694566245657,AT
2009,56.6603620765015,AT
2010,60.4816243241727,AT
2011,60.2659735348497,AT
2012,60.4711957925405,AT
2013,60.4084650622302,AT
2014,59.1443513821714,AT
2015,58.2852900331223,AT
2016,56.9164070714302,AT
2017,55.9202711271171,AT
2018,50.717801058885,AT
2019,47.9452055221088,AT
2020,59.5105313959055,AT
2021,60.7720402957897,AT
2022,59.8630787702056,AT
2023,57.0321492237025,AT
2024,55.9074265548699,AT
2025,54.9935863522293,AT
2026,55.1343585172453,AT
2027,53.7385618875696,AT
1995,73.2131734772489,BB
1996,67.8854894965028,BB
1997,61.8445086495445,BB
1998,52.4671825044975,BB
1999,50.6231556162704,BB
2000,55.5583456362464,BB
2001,58.0215168717477,BB
2002,67.2169506372058,BB
2003,69.1817590770782,BB
2004,69.9129908904802,BB
2005,69.6559123231435,BB
2006,75.3033044553784,BB
2007,75.6135687400479,BB
2008,79.6993506592591,BB
2009,97.6874734211774,BB
2010,105.042454182527,BB
2011,108.45077908632,BB
2012,121.97339525957,BB
2013,132.91871018903,BB
2014,137.777130654471,BB
2015,146.731700198371,BB
2016,149.36284612676,BB
2017,157.953014668989,BB
2018,126.132843228966,BB
2019,118.506167915572,BB
2020,140.794247537992,BB
2021,139.752264628755,BB
2022,124.3040065555,BB
2023,116.427204190322,BB
2024,109.803750093864,BB
2025,102.828763162923,BB
2026,96.2329269153711,BB
2027,89.9920386046425,BB
1999,106.433187787343,BE
2000,100.836271725903,BE
2001,98.520059772637,BE
2002,95.9115112257781,BE
2003,92.8801817916721,BE
2004,88.4458594434337,BE
2005,86.3735618651967,BE
2006,83.0684820283499,BE
2007,78.6944260940169,BE
2008,82.2082662860847,BE
