year,G_X_G01_GDP_PT,country,obs_code
1991,20.7760995320709,CR,1991CR
1992,21.6449624123514,CR,1992CR
1993,24.5313389173723,CR,1993CR
1994,19.0288061964688,CR,1994CR
1995,17.2126297025392,CR,1995CR
1996,18.6658941010377,CR,1996CR
1997,19.393091127877,CR,1997CR
1998,19.419209770101,CR,1998CR
1999,23.3205277972471,CR,1999CR
2000,22.0988444225597,CR,2000CR
2001,25.0657844834917,CR,2001CR
2002,26.8087552007507,CR,2002CR
2003,26.4412991121207,CR,2003CR
2004,25.5439726254472,CR,2004CR
2005,23.609587234164,CR,2005CR
2006,24.3937036291147,CR,2006CR
2007,24.4487401550458,CR,2007CR
2008,26.4090346298782,CR,2008CR
2009,28.3516422436383,CR,2009CR
2010,26.4632218121544,CR,2010CR
2011,25.9118547631302,CR,2011CR
2012,26.3560674726442,CR,2012CR
2013,29.5756069008258,CR,2013CR
2014,27.6379065573964,CR,2014CR
2015,26.0218901829866,CR,2015CR
2016,27.3825627915726,CR,2016CR
2017,26.8579018428833,CR,2017CR
2018,26.1561292440241,CR,2018CR
2019,25.724374447628,CR,2019CR
2020,28.0006636226993,CR,2020CR
2021,27.7735700156198,CR,2021CR
2022,27.6446329954183,CR,2022CR
2023,26.4434626131982,CR,2023CR
2024,26.2110836735937,CR,2024CR
2025,26.1896171228154,CR,2025CR
2026,26.2720604048597,CR,2026CR
2027,26.3498506734595,CR,2027CR
2001,19.2264078476353,SV,2001SV
2002,18.7277564885498,SV,2002SV
2003,20.8839491250792,SV,2003SV
2004,20.8198865985738,SV,2004SV
2005,21.2670639860467,SV,2005SV
2006,21.3527137032731,SV,2006SV
2007,21.4809122732851,SV,2007SV
2008,21.8783853288372,SV,2008SV
2009,22.7395644988234,SV,2009SV
2010,22.5887622374058,SV,2010SV
2011,23.5349155099144,SV,2011SV
2012,24.0848361038489,SV,2012SV
2013,24.2027846614667,SV,2013SV
2014,24.5871515070697,SV,2014SV
2015,25.3374742072978,SV,2015SV
2016,26.7507109169286,SV,2016SV
2017,27.2580960282875,SV,2017SV
2018,27.6252376333605,SV,2018SV
2019,27.8395707075213,SV,2019SV
2020,28.9746097480455,SV,2020SV
2021,29.9916717459105,SV,2021SV
2022,27.1311889741812,SV,2022SV
2023,27.3452997551367,SV,2023SV
2024,27.9301095798784,SV,2024SV
2025,28.1655485098214,SV,2025SV
2026,28.6426619750901,SV,2026SV
2027,28.8234869850275,SV,2027SV
1998,12.9945492379718,DO,1998DO
1999,13.8251694174452,DO,1999DO
2000,14.5380935936453,DO,2000DO
2001,15.7333723897168,DO,2001DO
2002,15.844783768796,DO,2002DO
2003,19.0135234856598,DO,2003DO
2004,17.0776939915117,DO,2004DO
2005,15.1435466363205,DO,2005DO
2006,16.1594480795779,DO,2006DO
2007,16.2728958332539,DO,2007DO
2008,18.2857195016153,DO,2008DO
2009,16.2482231015926,DO,2009DO
2010,15.7988376190099,DO,2010DO
2011,15.9469693399679,DO,2011DO
2012,20.1176309084052,DO,2012DO
2013,17.6907822120704,DO,2013DO
2014,16.9998425995052,DO,2014DO
2015,16.6811553440021,DO,2015DO
2016,16.974438735522,DO,2016DO
2017,17.0641189098295,DO,2017DO
2018,16.351643553542,DO,2018DO
2019,16.5912168326974,DO,2019DO
2020,22.0917562997943,DO,2020DO
2021,18.4790053228705,DO,2021DO
2022,17.2917940666405,DO,2022DO
2023,17.1622962926679,DO,2023DO
2024,17.1767959642553,DO,2024DO
2025,16.8641965064017,DO,2025DO
2026,16.8277547374276,DO,2026DO
2027,16.8035428185875,DO,2027DO
1991,14.0047541536418,GT,1991GT
1992,13.7454240445435,GT,1992GT
1993,13.8169113711026,GT,1993GT
1994,17.4218438228654,GT,1994GT
1995,16.4022966143835,GT,1995GT
1996,17.2872365704152,GT,1996GT
1997,16.2558678189595,GT,1997GT
1998,16.026619899457,GT,1998GT
1999,16.7120852330335,GT,1999GT
2000,16.8700701823409,GT,2000GT
2001,17.280035391391,GT,2001GT
2002,18.55066462421,GT,2002GT
2003,17.5671656627339,GT,2003GT
2004,17.0062259868735,GT,2004GT
2005,16.5813117392013,GT,2005GT
2006,15.5367256021382,GT,2006GT
2007,14.8444488983402,GT,2007GT
2008,15.6431641438635,GT,2008GT
2009,16.847659411672,GT,2009GT
2010,18.2963986589012,GT,2010GT
2011,17.3994726370194,GT,2011GT
