year,G_XWDG_G01_GDP_PT,country,obs_code
1991,135.414771981443,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
1992,123.196626796097,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
1993,111.736854336946,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
1994,85.4964977578883,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
1995,65.3784854761016,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
1996,64.6428011531754,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
1997,70.8412915506359,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
1998,67.421128121285,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
1999,75.7582779558527,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2000,65.7575226244987,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2001,63.4172794995737,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2002,64.2479542911981,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2003,67.7569111093432,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2004,60.9056972147443,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2005,55.6058626132759,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2006,39.2017806062326,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2007,24.0218635152338,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2008,22.3234905087451,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2009,23.369915682051,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2010,22.6269053605308,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2011,24.5247688046799,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2012,29.1805181569698,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2013,39.4340766298722,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2014,37.0544191525752,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2015,37.114014070421,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2016,38.1741878932227,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2017,38.8528399896872,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2018,39.7108449587976,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2019,42.623373776944,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2020,50.9722516979168,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2021,48.185826621957,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2022,47.5961403711248,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2023,45.3436361943598,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2024,45.5735500501263,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
2025,44.8904175267716,CR,"0      1991
1      1992
2      1993
3      1994
4      1995
       ... 
219    2023
220    2024
221    2025
222    2026
223    2027
Name: year, Length: 224, dtype: objectCR"
