year,NGDP_R_XDC,country,obs_code
2005,18757.098794,CR,2005CR
2006,19572.723061,CR,2006CR
2007,19936.477928,CR,2007CR
2008,20361.235164,CR,2008CR
2009,19936.477928,CR,2009CR
2010,20356.71647,CR,2010CR
2011,21131.672491,CR,2011CR
2012,21728.140099,CR,2012CR
2013,22213.899704,CR,2013CR
2014,22593.47,CR,2014CR
2015,23135.71328,CR,2015CR
2016,23723.1435,CR,2016CR
2017,24256.349392,CR,2017CR
2018,24841.520265,CR,2018CR
2019,25496.730895,CR,2019CR
2020,23472.355983,CR,2020CR
2007,1458416.518056,SV,2007SV
2008,1505224.458383,SV,2008SV
2009,1519466.217412,SV,2009SV
2010,1646184.397854,SV,2010SV
2011,1697766.318478,SV,2011SV
2012,1743900.875427,SV,2012SV
2013,1828919.61966,SV,2013SV
2014,1957866.933364,SV,2014SV
2015,2093488.743418,SV,2015SV
2016,2232898.351297,SV,2016SV
2017,2337101.123072,SV,2017SV
2018,2500289.853666,SV,2018SV
2019,2626608.698128,SV,2019SV
2020,2450094.306178,SV,2020SV
2007,21295.9842302566,DO,2007DO
2008,23394.8428913851,DO,2008DO
2009,23685.6390493264,DO,2009DO
2010,25066.0364652154,DO,2010DO
2011,27901.9141461273,DO,2011DO
2012,30630.3942020176,DO,2012DO
2013,32744.9440968945,DO,2013DO
2014,34404.0037341859,DO,2014DO
2015,36376.2787128231,DO,2015DO
2016,38178.1540113177,DO,2016DO
2017,40312.8199309171,DO,2017DO
2018,41798.4861620641,DO,2018DO
2019,43043.9621166242,DO,2019DO
2020,35319.7816545108,DO,2020DO
2021,40736.3594373516,DO,2021DO
1991,10804736.4,GT,1991GT
1992,11798891.4,GT,1992GT
1993,12636281.3,GT,1993GT
1994,13207318.4,GT,1994GT
1995,13755944.2,GT,1995GT
1996,13941712.6,GT,1996GT
1997,14705183.9,GT,1997GT
1998,15757385.2,GT,1998GT
1999,16421529.3,GT,1999GT
2000,17056831.9,GT,2000GT
2001,17652314.9,GT,2001GT
2002,18255472.7,GT,2002GT
2003,19043594.3,GT,2003GT
2004,19886197.1,GT,2004GT
2005,20677004.8,GT,2005GT
2006,22191946,GT,2006GT
2007,24015043.6,GT,2007GT
2008,25152918.4,GT,2008GT
2009,24933218.7,GT,2009GT
2010,26269724.9,GT,2010GT
2011,27426422.7,GT,2011GT
2012,28765543.2,GT,2012GT
2013,29483176.2,GT,2013GT
2014,30527502.7,GT,2014GT
2015,31642391.8,GT,2015GT
2016,32972740.2,GT,2016GT
2017,34343647.5,GT,2017GT
2018,35242044.5,GT,2018GT
2019,36094025.1,GT,2019GT
2020,34631889.3,GT,2020GT
2021,37320674.9,GT,2021GT
2013,416383.220337608,HN,2013HN
2014,434887.198305121,HN,2014HN
2015,452683.524920691,HN,2015HN
2016,464805.496672958,HN,2016HN
2017,479120.814726894,HN,2017HN
2018,495037.678904059,HN,2018HN
2019,514180.075082166,HN,2019HN
2020,506367.992610742,HN,2020HN
2000,106654.2,NI,2000NI
2001,109558.6,NI,2001NI
2002,113671.8,NI,2002NI
2003,118840.5,NI,2003NI
2004,126247,NI,2004NI
2005,133885.7,NI,2005NI
2006,142678.3,NI,2006NI
2007,151507.7,NI,2007NI
2008,157918.9,NI,2008NI
2009,154078.9,NI,2009NI
2010,159827.8,NI,2010NI
2011,165958.3,NI,2011NI
2012,172810.2,NI,2012NI
2013,177634.3,NI,2013NI
2014,183066.5,NI,2014NI
2015,190096.4,NI,2015NI
2016,197496.8,NI,2016NI
2017,207061.4,NI,2017NI
2018,215022.9,NI,2018NI
2019,220727.6,NI,2019NI
2020,200939.9,NI,2020NI
2021,226125.9,NI,2021NI
1963,50551.5441509338,PA,1963PA
1964,56466.8021873896,PA,1964PA
1965,61838.4928903661,PA,1965PA
1966,63884.8695815332,PA,1966PA
1967,68329.2968675555,PA,1967PA
1968,69256.5566534651,PA,1968PA
1969,73573.0912967366,PA,1969PA
1970,74564.3082971547,PA,1970PA
1971,78241.3652024941,PA,1971PA
1972,80735.3552501564,PA,1972PA
1973,85915.7298593872,PA,1973PA
1974,98111.1005268392,PA,1974PA
1975,97958.8363146675,PA,1975PA
1976,103063.082448857,PA,1976PA
1977,111726.209520213,PA,1977PA
1978,102960.411039895,PA,1978PA
1979,75699.242031434,PA,1979PA
1980,79190.6509031995,PA,1980PA
1981,83435.9299328957,PA,1981PA
1982,82754.4047018331,PA,1982PA
1983,86573.2538875493,PA,1983PA
1984,85217.8068322121,PA,1984PA
1985,81737.8212258524,PA,1985PA
1986,80907.8008066134,PA,1986PA
1987,80336.6883709845,PA,1987PA
1988,70374.9390129826,PA,1988PA
1989,69182.5318732941,PA,1989PA
1990,69091.1005742322,PA,1990PA
1991,68984.4319363684,PA,1991PA
1992,69260.3696641142,PA,1992PA
1993,68983.3281854579,PA,1993PA
1994,72432.49466,PA,1994PA
1995,76714.63704,PA,1995PA
1996,81581.61938,PA,1996PA
1997,84817.67749,PA,1997PA
1998,87965.83947,PA,1998PA
1999,94155.09003,PA,1999PA
2000,98016.94593,PA,2000PA
2001,100919.0743,PA,2001PA
2002,101679.9425,PA,2002PA
2003,104243.0223,PA,2003PA
2004,109780.5894,PA,2004PA
2005,114481.8315,PA,2005PA
2006,118837.7102,PA,2006PA
2007,124870.3307,PA,2007PA
2008,129160.5218,PA,2008PA
2009,124907.6983,PA,2009PA
2010,130416.2516,PA,2010PA
2011,138654.2361,PA,2011PA
2012,147661.4046,PA,2012PA
2013,154936.8209,PA,2013PA
2014,162351.2608,PA,2014PA
2015,170131.567776393,PA,2015PA
2016,177894.921945782,PA,2016PA
2017,186133.604977836,PA,2017PA
2018,179873.267994945,PA,2018PA
2019,173264.253863406,PA,2019PA
2020,169838.167898944,PA,2020PA
2021,187331.499192535,PA,2021PA
